기업명,관리종목여부,년도,유동자산,현금및현금성자산,재고자산,매출채권,기타유동자산,비유동자산,유형자산,무형자산,투자부동산,기타비유동자산,자산총계,유동부채,매입채무,기타유동부채,비유동부채,부채총계,자본금,이익잉여금,기타자본구성요소,자본총계,부채와자본총계,매출액,매출원가,매출총이익(손실),판매비와관리비,영업이익(손실),금융수익,금융비용,법인세차감전순이익(손실),법인세비용,당기순이익(손실),총포괄손익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,현금및현금성자산의순증가,기초현금및현금성자산,기말현금및현금성자산
신라젠,Y,2019,49933095169,4255724412,,3888079965,,15198046190,1720846453,679296424,,,65131141359,9243943404,,,524951958,9768895362,,-333401400241,,55362245997,65131141359,8837039853,83268257683,-74431217830,0,-74431217830,41187424521,25765053890,-212929975498,,-212929975498,-212480767898,22144201569,-24856464710,-370190967,-3082454108,7320754417,4255724412
쌍용자동차,Y,2015,605693863337,192773290414,243631535824,151755651700,,1441896619827,1187781725798,186944584522,,,2047590483164,878408363253,432415648781,,443372917928,1321781281181,,-92196977649,,725809201983,2047590483164,3385555598276,2868337736419,517217861857,550410785278,-33192923421,17730731850,45202319058,-58659179889,,-58659179889,-59582273163,204142602828,-227988944953,67528400147,43682058022,149091232392,192773290414
쌍용자동차,Y,2016,679572861017,234657416084,200132722692,218645303615,,1491211314998,1198961456707,234344497954,,,2170784176015,944944592566,482375279702,,405669623189,1350614215755,,4965820653,,820169960260,2170784176015,3626340467068,3035871860775,590468606293,559953922599,30514683694,28244307074,21226581459,56769807819,,56769807819,94360758277,245616556539,-210692313143,6959882274,41884125670,192773290414,234657416084
쌍용자동차,Y,2017,655306853216,212521514253,223537426093,194911639365,,1594668782874,1239668890519,303268722439,,,2249975636090,1006050749193,526467391988,,466268429097,1472319178290,,-45232441632,,777656457800,2249975636090,3489882082764,2976693716040,513188366724,577434758471,-64246391747,25938729763,22007421539,-70944800917,,-70944800917,-47623562260,205080777994,-277445714475,50229034650,-22135901831,234657416084,212521514253
쌍용자동차,Y,2018,575683830866,150953422796,216956614671,179011136626,,1630379322688,1227206438965,353759962577,,,2206063153554,993613040009,534719077632,,517173701182,1510786741191,,-82483045437,,695276412363,2206063153554,3705902889354,3247911038476,457991850878,519916041582,-61924190704,12971870518,12995810987,-62442540455,,-62442540455,-82380045437,177498480119,-260348099706,21281528130,-61568091457,212521514253,150953422796
쌍용자동차,Y,2019,506529253917,119130706656,204624340566,159023958924,,1510315750806,1141386611591,312855598571,,,2016845004723,983425223720,477054915947,,627880188221,1611305411941,,-421823237468,,405539592782,2016845004723,3626261374465,3363531331248,262730043217,537929132462,-275199089245,11646850442,19001403127,-341052097314,,-341052097314,-339443192031,-26047172919,-209346147581,203570604360,-31822716140,150953422796,
씨씨에스,Y,2015,17396318539,1456577656,0,15223603956,,39540945897,29014810054,7286554016,1416281490,,56937264436,8887288196,3029113049,,12692814445,21580102641,,-7803042524,,35357161795,56937264436,21203583099,15824203554,5379379545,5236468293,142911252,718664408,1115741857,-1578873847,0,-1578873847,-1578873847,489424142,1306530085,-1869930396,-73976169,1530553825,1456577656
씨씨에스,Y,2016,7125185048,218463716,0,6737792135,,38182077548,29640930069,6772842456,1416281490,,45307262596,6508651773,1737153642,,4903351167,11412002940,,-9941047724,,33895259656,45307262596,20916835672,17010338588,3906497084,5212475624,-1305978540,294166175,755610399,-2138005200,0,-2138005200,-2138005200,4031118312,3754351050,-9023583302,-1238113940,1456577656,218463716
씨씨에스,Y,2017,9114755135,1023080525,0,6398031166,,33348839104,26863967072,5103188542,380085988,,42463594239,5028531285,2015989834,,6086156531,11114687816,,-14267204673,,31348906423,42463594239,21263186706,17106820881,4156365825,5297782504,-1141416679,21935084,525865246,-7130364966,0,-7130364966,-7130364966,4707480607,-4275865198,373001400,804616809,218463716,1023080525
씨씨에스,Y,2018,9063326592,1864947696,,5226457137,,26627250507,22732723197,2552904601,375921499,,35690577099,11027748852,1609355016,,45600520,11073349372,,-23128445992,,24617227727,35690577099,21016147877,18567772810,2448375067,6138282414,-3689907347,6703097,351042345,-7533672879,0,-7533672879,-7533672879,4998810741,-1613185653,-2543757917,841867171,1023080525,1864947696
